# redshift                Ha6563rest              OII3726rest             OII3729rest             OIII4959rest            OIII5007rest            
  8.389962211531838e-01   6.057873059998491e+41   2.703809417547808e+40   3.989993016953543e+40   2.354588614086269e+41   7.090835994008793e+41   
  8.466972309871712e-01   1.163163182730432e+37   3.629475890742133e+35   5.384578602978806e+35   6.096144022493378e+36   1.836771866407872e+37   
  8.497722823485918e-01   1.612792983534336e+40   7.742790438673302e+38   1.148975570907320e+39   6.361121164043485e+39   1.915928320510266e+40   
  8.463139112554816e-01   1.544702223541645e+40   7.406905353729521e+38   1.099190691241812e+39   5.990624259422692e+39   1.804407246183304e+40   
  8.446556507378096e-01   5.574096263206752e+38   3.010703762580099e+37   4.481361216502729e+37   1.992662978204267e+38   6.002789532411873e+38   
  8.485184275000419e-01   1.147809414803818e+39   5.326372746865740e+37   7.912648797335865e+37   4.462373695330390e+38   1.343743446811254e+39   
  8.463172646299795e-01   1.660756527285473e+38   9.279873035929649e+36   1.380225380126737e+37   7.718627811003619e+37   2.325485787972742e+38   
  8.467090217065696e-01   2.907773861958896e+38   1.024683453765523e+37   1.520789198256902e+37   1.514538671440372e+38   4.563314140912675e+38   
  8.426260892644657e-01   1.237349001041537e+37   3.769696649783033e+35   5.588731397635847e+35   5.196303665279358e+36   1.565649424698710e+37   
  8.444923530080952e-01   3.999118167215504e+37   1.084441725980182e+36   1.607707416529115e+36   2.080082722298974e+37   6.267285991327070e+37   
  8.444896902419381e-01   3.488708960226221e+40   1.615524887564263e+39   2.396588382175273e+39   1.389389331296535e+40   4.185577857634822e+40   
  8.470847774733878e-01   1.126678973161805e+39   5.470798445209614e+37   8.117079956816505e+37   4.724594789802431e+38   1.422935346791860e+39   
  8.406118694081595e-01   2.596367887104300e+40   1.210626956308474e+39   1.796705263664992e+39   9.608807990870328e+39   2.894175684766319e+40   
  8.473011494396234e-01   2.990116973640110e+41   8.854757980384449e+39   1.313699536491449e+40   4.250967372365151e+40   1.280038535486015e+41   
