# z    ,     O[III] EW / H beta EW
     0.660842,      1.12393
     0.710518,      3.69026
     0.719471,      1.19855
     0.716650,      2.92136
     0.712608,      1.94183
     0.713396,      2.29770
     0.718391,      1.71281
     0.720173,      1.60215
     0.684858,      1.56257
     0.669667,     0.287072
     0.711352,     0.155009
     0.714372,     0.500833
     0.734627,     0.472796
     0.712660,      1.88178
     0.855998,     -657.369
     0.834284,     -821.198
     0.751518,      2.46320
     0.722597,     0.223236
     0.669443,      3.00647
     0.758611,      1.21826
     0.714081,     0.606727
     0.669730,      3.70810
     0.733903,      3.94751
     0.713144,      4.36765
     0.760516,     0.323164
     0.817494,     0.964096
     0.718343,      5.60786
     0.712992,      2.26160
     0.684921,      2.38589
     0.719603,      1.54429
     0.817438,     -1915.58
     0.744061,     0.538369
     0.760088,     -271.059
     0.817859,     -944.616
     0.718364,      2.62717
     0.724498,      1.43211
     0.683802,     0.532482
     0.747470,     0.432319
     0.734306,     0.967741
     0.733969,     0.974830
     0.717004,     0.129846
     0.715820,     0.861642
     0.743939,     0.554804
     0.673049,      1.77381
     0.739211,      3.45002
     0.835380,     -747.964
     0.717326,      1.66259
     0.862400,     -546.208
     0.672412,     0.697575
     0.728747,     0.583499
     0.734021,      6.44555
     0.816108,     -1344.64
     0.733809,     0.855107
     0.681721,      4.21587
     0.726543,      1.71836
     0.820110,     -794.705
     0.679646,      3.24344
     0.841595,     -1648.94
     0.842294,     -773.010
     0.682765,      3.68075
     0.759043,     0.997538
     0.757605,      3.18990
     0.725796,      3.97017
     0.726697,      2.34671
     0.683522,     0.620930
     0.842045,     -719.052
     0.726893,     0.417083
     0.728665,     0.501901
     0.726868,     0.699798
     0.819017,     -543.747
     0.713142,     0.306862
     0.721687,      1.84504
     0.684789,     0.690151
     0.808125,     0.911494
     0.726639,      3.71531
     0.698623,      3.92978
     0.720892,     0.982370
     0.720870,     0.430947
     0.832079,     -1056.11
     0.760359,      1.17778
     0.717587,     0.786766
     0.698281,      1.22219
     0.759853,      1.17868
     0.718720,     0.288301
     0.722862,      5.81417
     0.733415,     0.364500
     0.783261,      3.42840
     0.761333,     0.845332
     0.760089,      3.20827
     0.760740,     -1348.58
     0.733722,      2.15693
     0.760766,     0.360611
     0.745796,     0.911505
     0.763973,     -578.977
     0.841372,      4.50155
     0.766455,     -296.155
     0.744045,      1.26533
     0.717319,     0.870526
     0.672821,    0.0735352
     0.718541,     0.188176
     0.743879,     0.570654
     0.836126,     -610.870
     0.729026,     0.402620
     0.718682,     -1711.42
     0.669993,      5.80739
     0.729769,      3.07280
     0.718974,     0.382541
     0.734637,      1.46266
     0.709754,      1.27851
     0.730835,      1.77241
     0.702342,     0.528701
     0.719676,      1.06022
     0.841518,     -2980.43
     0.837876,     -1459.89
     0.728429,     0.381256
     0.712737,     0.396666
     0.733749,      1.10152
     0.728766,     0.127906
     0.731845,      1.97459
     0.710310,      2.67175
     0.739890,     0.712654
     0.683428,      1.37103
     0.690382,      1.83009
     0.842583,     -757.476
     0.817035,      1.92357
     0.842672,     -888.782
     0.739833,     0.652002
     0.685231,      2.55223
     0.732684,     0.165778
     0.817616,     -623.634
     0.732186,      5.97534
     0.817150,     -768.001
     0.759351,     0.536945
     0.743689,      3.41310
     0.744838,      1.55277
     0.813941,     0.279321
     0.788902,      3.77189
     0.719636,      1.46983
     0.842736,     -1217.88
     0.656878,      2.91886
     0.730699,    -0.168466
     0.786867,     -907.629
     0.728790,     0.929358
     0.717388,      1.78289
     0.742678,      3.33174
     0.743910,      1.16048
     0.817310,     -485.358
     0.742900,     0.185094
     0.729979,     0.592827
     0.729960,      3.11499
     0.816450,     -354.315
     0.683081,     0.439491
     0.727935,      2.10636
     0.686671,      2.31781
     0.690820,      1.61515
     0.728645,      3.05762
     0.784325,      5.18087
     0.733516,     0.283855
     0.734171,     0.445120
     0.665506,      3.79851
     0.772206,     -1231.83
     0.651780,      1.46684
     0.733382,     0.623586
     0.721103,      2.43971
     0.776439,     -256.398
     0.652801,      2.46041
     0.736255,     -833.480
     0.738013,      1.74550
     0.737904,      4.11762
     0.679221,      2.79409
     0.738118,      1.84525
     0.842210,     -969.819
     0.817886,     -1137.96
     0.760920,     0.375570
     0.656509,     0.823791
     0.677975,     0.668222
     0.851746,     -1375.35
     0.817690,      1.96970
     0.722390,     0.539137
     0.761664,     -3209.04
     0.760738,      1.50158
     0.687977,     0.705457
     0.697577,      1.50058
     0.833493,     -857.428
     0.714156,     0.604044
     0.743715,      2.75476
     0.772330,      1.73350
     0.735633,     -518.293
     0.734957,      1.81479
     0.766464,     0.893002
     0.764421,     0.940195
     0.824889,     -2884.69
     0.659589,     0.609955
     0.820511,     -1643.02
     0.771032,      2.40349
     0.808234,      5.10033
     0.823512,     -782.708
     0.808368,     0.609155
     0.653595,     0.700947
     0.751538,     -1.03030
     0.764551,      3.48395
     0.854398,     -429.044
