# z   ,    O[III] EW / O[II] EW
     0.810706,     -1265.51
      1.11324,     -122.630
      1.24029,     -280.142
     0.961478,     -197.776
     0.989412,     -249.581
     0.997909,     -256.319
      1.25757,     -133.171
      1.07859,     -193.098
     0.799269,     -383.906
     0.903581,     -958.182
     0.903710,     -272.595
     0.987179,     -139.463
     0.997593,     -185.017
     0.996611,     -292.116
     0.817144,     -231.757
      1.17063,     -167.793
     0.996976,     -446.719
     0.996933,     -446.719
     0.986185,     -83.9511
     0.746155,     0.454412
     0.985102,     -1038.75
     0.903748,     -340.857
     0.815839,     -175.708
     0.745887,     0.434249
     0.872816,     -889.320
     0.872365,     -889.320
      1.14481,     -161.099
      1.14825,     -2456.61
     0.878311,     -422.912
      1.14764,     -181.668
     0.768456,     0.863839
     0.743275,     0.220655
     0.902419,     -323.903
     0.987632,     -125.711
     0.997818,     -195.027
     0.901231,     -146.103
     0.981526,     -329.296
     0.746652,     0.367920
      1.29246,     -264.610
      1.29250,     -264.610
      1.28571,     -241.376
     0.746844,     0.826282
     0.746311,     0.178532
     0.827310,     0.289565
     0.988207,     -871.638
      1.40302,     -196.164
     0.835162,     -503.546
      1.27871,     -144.256
     0.753283,     0.340037
     0.810521,    -0.315815
     0.980356,     -361.667
     0.899413,     -412.818
     0.832376,     -221.867
      1.14581,     -155.173
     0.984559,     -149.048
      1.29443,     -319.742
      1.03715,     -262.071
      1.02517,     -584.664
     0.945781,     -196.655
      1.17993,     -126.361
      1.22618,     -204.505
      1.28704,     -196.742
     0.779577,     0.162100
      1.04624,     -118.048
      1.28920,     -305.078
      1.16388,     -356.383
     0.901937,     -173.313
      1.28513,     -176.198
     0.778383,     0.315386
     0.772393,     0.531177
     0.793450,     0.812852
     0.819632,     -345.197
      1.04143,     -357.648
     0.770146,     0.158374
     0.836238,     -209.601
     0.820437,     0.652742
     0.993553,     -274.134
      1.30243,     -241.204
     0.800944,     0.739791
      1.28787,     -510.186
     0.876935,     -141.939
     0.771653,     0.904528
     0.832477,     -235.489
     0.771162,     0.444021
     0.985556,     -232.211
      1.21545,     -91.2851
      1.28521,     -340.273
     0.833400,     -351.302
     0.832197,     -191.587
     0.859674,     -306.543
     0.831816,     -590.994
     0.935864,     -124.278
     0.985502,     -180.091
      1.24494,     -324.890
     0.775222,     0.242227
     0.794385,     0.662034
      1.10519,     -256.716
     0.986146,     -342.460
     0.811506,     -1019.69
     0.771988,     -228.252
     0.984086,     -157.463
     0.810417,     -192.677
      1.10548,     -276.887
      1.10550,     -276.887
     0.986977,     -313.047
      1.21217,     -235.241
     0.835791,     -604.146
      1.03534,     -177.115
     0.833440,     0.314454
      1.02097,     -240.757
      1.25321,     -452.943
      1.24515,     -398.219
     0.986402,     -253.082
      1.24327,     -519.487
      1.19550,     -223.207
     0.769853,     0.487330
     0.904389,     -139.184
      1.17927,     -213.331
      1.04039,     -170.369
