# z      ,        O[II] EW
      1.02557,      40.9247
      1.18251,      32.6657
     0.916375,      133.773
     0.933670,      51.5386
      1.05247,      114.857
     0.922974,      42.4711
     0.953706,      7.50711
     0.822927,      37.7521
      1.28609,      27.4353
     0.812520,      57.5342
     0.770474,      45.4281
     0.811150,      20.5556
      1.02660,      41.9024
      1.02634,      41.9024
     0.828829,      41.3655
     0.994053,      37.4723
     0.988895,      150.974
      1.14652,      60.8701
      1.28697,      54.1009
     0.813051,      31.2444
     0.988831,      43.8644
      1.40191,      103.639
     0.989323,      22.1936
     0.748574,      28.5991
     0.828964,      63.1931
     0.747787,      31.0225
     0.747634,      31.0225
     0.901116,      15.1299
     0.750578,      6.89631
     0.775483,      28.8894
     0.994913,      27.8120
     0.835159,      36.1103
     0.985630,      53.7357
     0.749105,      24.4484
     0.836491,      23.4766
     0.805172,      17.8461
     0.802085,      25.7784
     0.747719,      16.7616
     0.990450,      33.1258
     0.903074,      47.2236
     0.926273,      104.562
      1.29079,      53.8884
     0.767491,      29.1357
      1.05050,      47.4707
     0.989709,      34.8536
     0.977838,      47.3160
     0.990993,      33.9650
      1.02284,      13.3132
      1.08079,      49.7488
      1.33399,      25.8517
      1.03732,      88.6945
      1.02676,      25.5295
     0.875413,      35.3090
     0.811435,      5.34077
     0.820583,      21.7320
      1.25127,      100.067
      1.10223,      47.4641
     0.942366,      83.4840
     0.811007,      23.0472
     0.810977,      23.0472
     0.987408,      53.3383
     0.810512,      38.8218
     0.849287,      43.5948
      1.02600,      13.5073
     0.935902,      17.0992
      1.23518,      46.4648
     0.848683,      41.0189
     0.937547,      67.7528
      1.22870,      64.6904
      1.02634,      39.1997
     0.936527,      100.033
     0.849613,      32.7540
      1.19209,      94.3129
      1.19202,      94.3129
     0.848900,      40.1558
      1.03629,      44.9453
     0.835394,      38.2168
     0.835363,      38.2168
      1.03582,      37.1393
      1.21137,      48.4217
      1.28163,      57.2970
      1.20204,      37.0646
      1.39695,      66.6116
      1.24049,      43.1059
     0.792162,      50.7302
     0.766770,      16.8087
     0.851982,      52.0540
     0.810706,      7.90118
      1.11324,      81.5381
      1.24029,      35.6927
     0.961478,      50.5571
     0.989412,      40.0631
     0.997909,      39.0100
      1.25757,      75.0841
      1.07859,      51.7819
     0.799269,      26.0455
     0.903581,      10.4354
     0.903710,      36.6807
     0.987179,      71.6964
     0.997593,      54.0437
     0.996611,      34.2295
     0.817144,      43.1442
      1.17063,      59.5912
     0.996976,      22.3832
     0.996933,      22.3832
     0.986185,      119.105
     0.746155,      39.7968
     0.985102,      9.62602
     0.903748,      29.3349
     0.815839,      56.9069
     0.745887,      5.57583
     0.872816,      11.2434
     0.872365,      11.2434
      1.14481,      62.0676
      1.14825,      4.07024
     0.878311,      23.6432
      1.14764,      55.0401
     0.768456,      60.8262
     0.743275,      60.0078
     0.902419,      30.8703
     0.987632,      79.5397
     0.997818,      51.2699
     0.901231,      68.4378
     0.981526,      30.3648
     0.746652,      29.1353
      1.29246,      37.7877
      1.29250,      37.7877
      1.28571,      41.4251
     0.746844,      106.159
     0.746311,      31.8522
     0.827310,      40.6851
     0.988207,      11.4715
      1.40302,      50.9726
     0.835162,      19.8572
      1.27871,      69.3142
     0.753283,      28.7617
     0.810521,      25.7567
     0.980356,      27.6470
     0.899413,      24.2213
     0.832376,      45.0674
      1.14581,      64.4378
     0.984559,      67.0860
      1.29443,      31.2721
      1.03715,      38.1538
      1.02517,      17.1021
     0.945781,      50.8454
      1.17993,      79.1303
      1.22618,      48.8936
      1.28704,      50.8228
     0.779577,      20.0238
      1.04624,      84.7031
      1.28920,      32.7752
      1.16388,      28.0569
     0.901937,      57.6933
      1.28513,      56.7486
     0.778383,      48.7987
     0.772393,      46.4783
     0.793450,      43.1943
     0.819632,      28.9660
      1.04143,      27.9576
     0.770146,      30.8507
     0.836238,      47.7048
     0.820437,      33.5488
     0.993553,      36.4749
      1.30243,      41.4546
     0.800944,      23.6039
      1.28787,      19.5987
     0.876935,      70.4458
     0.771653,      91.2544
     0.832477,      42.4607
     0.771162,      33.0220
     0.985556,      43.0600
      1.21545,      109.536
      1.28521,      29.3852
     0.833400,      28.4627
     0.832197,      52.1904
     0.859674,      32.6186
     0.831816,      16.9190
     0.935864,      80.4567
     0.985502,      55.5220
      1.24494,      30.7766
     0.775222,      23.0359
     0.794385,      58.7045
      1.10519,      38.9497
     0.986146,      29.1975
     0.811506,      9.80593
     0.771988,      43.8069
     0.984086,      63.5005
     0.810417,      51.8952
      1.10548,      36.1123
      1.10550,      36.1123
     0.986977,      31.9409
      1.21217,      42.5054
     0.835791,      16.5506
      1.03534,      56.4549
     0.833440,      22.5416
      1.02097,      41.5316
      1.25321,      22.0756
      1.24515,      25.1093
     0.986402,      39.5089
      1.24327,      19.2478
      1.19550,      44.7970
     0.769853,      32.5400
     0.904389,      71.8404
      1.17927,      46.8709
      1.04039,      58.6904
      1.03982,      56.2308
      1.26376,      53.0268
      1.03252,      60.5827
     0.875531,      24.6355
     0.856483,      82.6344
      1.08329,      65.7010
      1.07532,      54.7381
      1.10253,      42.3593
     0.831456,      32.3728
     0.953568,      49.9647
     0.831586,      31.4163
     0.831552,      31.4163
